Input.turn_id,Input.query,Input.passage_id,Input.passage,Input.relevance_score,answerable_sentences,unanswerable_sentences
100_3,What are the differences between dental crowns and veneers?,MARCO_2085561,"Porcelain laminate veneers are probably the most aesthetic means of creating a more pleasing and beautiful smile. They do require some tooth reduction. In most cases, veneers are a much more conservative restoration than a crown.The porcelain veneer allows us to alter the tooth position, shape, size, and color.Porcelain veneers require tooth reduction so this is not a reversible procedure.The first visit is a preparation and impression appointment.n most cases, veneers are a much more conservative restoration than a crown. The porcelain veneer allows us to alter the tooth position, shape, size, and color. Porcelain veneers require tooth reduction so this is not a reversible procedure. The first visit is a preparation and impression appointment.",3,"{'Porcelain veneers require tooth reduction so this is not a reversible procedure.', 'They do require some tooth reduction.', 'Porcelain laminate veneers are probably the most aesthetic means of creating a more pleasing and beautiful smile.', 'The porcelain veneer allows us to alter the tooth position, shape, size, and color.', 'In most cases, veneers are a much more conservative restoration than a crown.The porcelain veneer allows us to alter the tooth position, shape, size, and color.Porcelain veneers require tooth reduction so this is not a reversible procedure.The first visit is a preparation and impression appointment.n most cases, veneers are a much more conservative restoration than a crown.'}",{'The first visit is a preparation and impression appointment.'}
100_3,What are the differences between dental crowns and veneers?,MARCO_2642564,"Crowns, Bridges, and Veneers Care. A crown covers most or all of a damaged tooth, and a bridge attaches to two or more crowns to fill the space of a missing tooth.A veneer is a thin, tooth-colored piece cemented onto the front of a tooth. It can improve the look of stained or badly shaped teeth and close small spaces or gaps between teeth.rowns, Bridges, and Veneers Care. A crown covers most or all of a damaged tooth, and a bridge attaches to two or more crowns to fill the space of a missing tooth.",3,"{'It can improve the look of stained or badly shaped teeth and close small spaces or gaps between teeth.rowns, Bridges, and Veneers Care.', 'A crown covers most or all of a damaged tooth, and a bridge attaches to two or more crowns to fill the space of a missing tooth.', 'A crown covers most or all of a damaged tooth, and a bridge attaches to two or more crowns to fill the space of a missing tooth.A veneer is a thin, tooth-colored piece cemented onto the front of a tooth.'}","{'Crowns, Bridges, and Veneers Care.'}"
100_3,What are the differences between dental crowns and veneers?,MARCO_3566366,"Porcelain Crowns vs. Porcelain Veneers. There are several fundamental differences between porcelain crowns and veneers: Porcelain veneers are considered the less invasive, more conservative option because they only require the removal of a small portion of the tooth to apply.",3,"{'There are several fundamental differences between porcelain crowns and veneers: Porcelain veneers are considered the less invasive, more conservative option because they only require the removal of a small portion of the tooth to apply.'}",{'Porcelain Crowns vs. Porcelain Veneers.'}
100_3,What are the differences between dental crowns and veneers?,MARCO_4015098,"Less tooth reduction is needed for a veneer as opposed to a dental crown. Though this is a positive thing, there are situations, like tooth decay, or broken tooth, where a teeth veneer simply won't do. That is why dental crowns exist. Also, dental crowns are much stronger when compared to veneers.",3,"{'That is why dental crowns exist.', 'Less tooth reduction is needed for a veneer as opposed to a dental crown.', 'Also, dental crowns are much stronger when compared to veneers.', ""Though this is a positive thing, there are situations, like tooth decay, or broken tooth, where a teeth veneer simply won't do.""}",set()
100_3,What are the differences between dental crowns and veneers?,MARCO_5756519,"This restoration is chosen as a conservative measure to preserve as much tooth structure as possible. When conditions allow, this is the preferred type of crown restoration. Dental veneer: Porcelain veneers are partial crowns that cover only the front and biting edge of teeth. These all-ceramic restorations are usually placed on front teeth to change the color or shape of teeth or add symmetry and balance to a smile.",3,"{'These all-ceramic restorations are usually placed on front teeth to change the color or shape of teeth or add symmetry and balance to a smile.', 'This restoration is chosen as a conservative measure to preserve as much tooth structure as possible.', 'Dental veneer: Porcelain veneers are partial crowns that cover only the front and biting edge of teeth.'}","{'When conditions allow, this is the preferred type of crown restoration.'}"
100_4,How does an implant compare to a crown?,MARCO_1022451,"1) The implant: A screw that serves as a root for your new teeth. This is what permanently attaches to your jaw. 2) The abutment: A permanent, but removable by your doctor, connector that supports and holds a tooth or set of teeth. 3) The crown (or prosthetic tooth): This is the part of the tooth that you can see. It's usually made of zirconium or porcelain for durability and good looks. You can use dental implants to replace a single tooth, multiple teeth or a full upper and/or lower set of teeth.",3,"{'This is what permanently attaches to your jaw.', '1) The implant: A screw that serves as a root for your new teeth.', ""It's usually made of zirconium or porcelain for durability and good looks."", '3) The crown (or prosthetic tooth): This is the part of the tooth that you can see.'}","{'2) The abutment: A permanent, but removable by your doctor, connector that supports and holds a tooth or set of teeth.', 'You can use dental implants to replace a single tooth, multiple teeth or a full upper and/or lower set of teeth.'}"
100_4,How does an implant compare to a crown?,MARCO_1235222,"Find Dental Implant abroad with MEDIGO from $ 445. Dental implants abroad. Dental implants are widely considered the best solution for missing teeth or teeth that must be extracted and cannot be saved. Dental implants are made up of a screw-like implant, a crown, and an abutment which attaches the crown to the implant. The implant is fused into the jawbone, making it a permanent replacement almost indistinguishable from natural teeth. Dental implants are used in place of a conventional bridge or crown.",3,"{'Dental implants are made up of a screw-like implant, a crown, and an abutment which attaches the crown to the implant.', 'Dental implants are used in place of a conventional bridge or crown.', 'The implant is fused into the jawbone, making it a permanent replacement almost indistinguishable from natural teeth.', 'Dental implants are widely considered the best solution for missing teeth or teeth that must be extracted and cannot be saved.'}","{'Dental implants abroad.', 'Find Dental Implant abroad with MEDIGO from $ 445.'}"
100_4,How does an implant compare to a crown?,MARCO_1240285,"Dental Implant Procedure. After an implant is surgically placed into the jawbone, an abutment is then attached to the titanium implant. It's to the abutment(s) that the custom-fitted crowns are attached. Dental implant procedures are increasingly two-step processes, but they can take three -- and often it's by choice. After an implant goes into the bone, a post, or abutment, needs to be attached to the titanium implant.",3,"{'After an implant is surgically placed into the jawbone, an abutment is then attached to the titanium implant.', 'After an implant goes into the bone, a post, or abutment, needs to be attached to the titanium implant.', ""It's to the abutment(s) that the custom-fitted crowns are attached.""}","{""Dental implant procedures are increasingly two-step processes, but they can take three -- and often it's by choice."", 'Dental Implant Procedure.'}"
100_4,How does an implant compare to a crown?,MARCO_2060527,"A crown is used to entirely cover or cap a damaged tooth. Besides strengthening a damaged tooth, a crown can be used to improve its appearance, shape or alignment. A crown can also be placed on top of an implant to provide a tooth-like shape and structure for function. Porcelain or ceramic crowns can be matched to the color of your natural teeth. Other materials include gold and metal alloys, acrylic and ceramic.",4,"{'A crown can also be placed on top of an implant to provide a tooth-like shape and structure for function.', 'Besides strengthening a damaged tooth, a crown can be used to improve its appearance, shape or alignment.', 'Porcelain or ceramic crowns can be matched to the color of your natural teeth.', 'A crown is used to entirely cover or cap a damaged tooth.'}","{'Other materials include gold and metal alloys, acrylic and ceramic.'}"
100_4,How does an implant compare to a crown?,MARCO_2095216,"Dental implant surgery. What you can expect. Dental implant surgery A dental implant is a metal post that replaces the root portion of a missing tooth. An artificial tooth (crown) is placed on an extension of the post (abutment) on the dental implant, giving you the look of a real tooth. Your damaged tooth is removed.",3,"{'Dental implant surgery A dental implant is a metal post that replaces the root portion of a missing tooth.', 'An artificial tooth (crown) is placed on an extension of the post (abutment) on the dental implant, giving you the look of a real tooth.'}","{'Dental implant surgery.', 'What you can expect.', 'Your damaged tooth is removed.'}"
100_5,Which one of dental implants or crowns is more expensive?,MARCO_1535011,"A single dental implant in the hands of a hight trained, busy, outstanding, quality based specialist should cost in the range of $2200 to $2500. The crown should cost between $2000 to $3000 performed by a skilled specialist such a prosthodontist.",3,"{'A single dental implant in the hands of a hight trained, busy, outstanding, quality based specialist should cost in the range of $2200 to $2500.', 'The crown should cost between $2000 to $3000 performed by a skilled specialist such a prosthodontist.'}",set()
100_5,Which one of dental implants or crowns is more expensive?,MARCO_1612381,"1 A single implant typically costs $2,400-$3,000, but can be $4,000-$10,000 or more if additional procedures like extractions, bone grafts, 2  Placing an abutment and a dental crown on a single implant typically adds $500-$3,000 to the cost of just the implant, for a total of $1,500-$13,000 or more. metal abutment is connected to the implant, and then a crown, bridge or denture is attached to the abutment. The work is typically done in stages, often with separate prices for the implant surgery, the abutment placement and the replacement tooth or teeth.",3,"{'1 A single implant typically costs $2,400-$3,000, but can be $4,000-$10,000 or more if additional procedures like extractions, bone grafts, 2  Placing an abutment and a dental crown on a single implant typically adds $500-$3,000 to the cost of just the implant, for a total of $1,500-$13,000 or more.', 'The work is typically done in stages, often with separate prices for the implant surgery, the abutment placement and the replacement tooth or teeth.'}","{'metal abutment is connected to the implant, and then a crown, bridge or denture is attached to the abutment.'}"
100_5,Which one of dental implants or crowns is more expensive?,MARCO_535959,"LEIGH SMILE CENTER NEW 2015 FEE SUMMARY: TOTAL FEES 1. Single Dental Implant Surgical Fee: (includes ONLY the Surgical Placement and Implant Cost) $1,000. 2. Single Dental Implant (Root Form) with Implant CROWN and Abutment (Complete) EACH $3,600.Additional Implant / Crowns (Complete) EACH $3,200.e will place any other brand of dental implant the patient wishes for an additional fee of $300 each. Unfortunately, the final results of Dental Implant Treatments, as well as all other dental treatments, cannot be 'guaranteed'.",4,"{'Single Dental Implant (Root Form) with Implant CROWN and Abutment (Complete) EACH $3,600.Additional Implant / Crowns (Complete) EACH $3,200.e will place any other brand of dental implant the patient wishes for an additional fee of $300 each.', 'Single Dental Implant Surgical Fee: (includes ONLY the Surgical Placement and Implant Cost) $1,000.', '2.'}","{'LEIGH SMILE CENTER NEW 2015 FEE SUMMARY: TOTAL FEES 1.', ""Unfortunately, the final results of Dental Implant Treatments, as well as all other dental treatments, cannot be 'guaranteed'.""}"
100_5,Which one of dental implants or crowns is more expensive?,MARCO_5960934,"Of all the tooth replacement choices available, dental implants are the most costly. Paying for dental implants can be challenging, because they are also rarely covered by dental insurance plans. However, more dental plans are covering at least some of the cost of dental implants than they did about a decade ago.On average, it costs anywhere from $1500 to $2800 to replace a single tooth.The price range is so broad because there are many different factors associated with it.owever, more dental plans are covering at least some of the cost of dental implants than they did about a decade ago. On average, it costs anywhere from $1500 to $2800 to replace a single tooth.",3,"{'Of all the tooth replacement choices available, dental implants are the most costly.', 'On average, it costs anywhere from $1500 to $2800 to replace a single tooth.', 'However, more dental plans are covering at least some of the cost of dental implants than they did about a decade ago.On average, it costs anywhere from $1500 to $2800 to replace a single tooth.The price range is so broad because there are many different factors associated with it.owever, more dental plans are covering at least some of the cost of dental implants than they did about a decade ago.'}","{'Paying for dental implants can be challenging, because they are also rarely covered by dental insurance plans.'}"
100_5,Which one of dental implants or crowns is more expensive?,MARCO_8004627,"How much does a crown cost for a tooth? Dental crowns usually start around $600 per tooth and go up from there. The exact cost of a dental crown depends on what the crown is for and what type of material is used. For example, a crown for a dental implant might be more expensive than a regular crown.",3,"{'The exact cost of a dental crown depends on what the crown is for and what type of material is used.', 'For example, a crown for a dental implant might be more expensive than a regular crown.', 'Dental crowns usually start around $600 per tooth and go up from there.'}",{'How much does a crown cost for a tooth?'}
100_6,What is the coverage of the crown in insurance?,MARCO_451673,"1 Dental insurance might cover about 50% of the cost if the crown is needed for medical reasons, but dental crowns are typically not covered if they are considered cosmetic, and many dental plans have a maximum annual coverage limit of $1,000-$1,500.  Porcelain-fused-to-metal crowns can cost $500-$1,500 or more per tooth. For example, CostHelper readers without insurance coverage report paying $875-$1,400 for porcelain-fused-to-metal crowns, at an average cost of $1,093.",4,"{'Porcelain-fused-to-metal crowns can cost $500-$1,500 or more per tooth.', '1 Dental insurance might cover about 50% of the cost if the crown is needed for medical reasons, but dental crowns are typically not covered if they are considered cosmetic, and many dental plans have a maximum annual coverage limit of $1,000-$1,500.'}","{'For example, CostHelper readers without insurance coverage report paying $875-$1,400 for porcelain-fused-to-metal crowns, at an average cost of $1,093.'}"
100_6,What is the coverage of the crown in insurance?,MARCO_5861074,"Patients with insurance generally had copays of $280 to $1,000 per crown with an average payment of $620. Those without coverage paid $875 to $1,400 per tooth with an average cost of nearly $1,100. All-porcelain crowns are the most delicate, most lifelike and most expensive and the cost reflects this.",4,"{'Those without coverage paid $875 to $1,400 per tooth with an average cost of nearly $1,100.', 'Patients with insurance generally had copays of $280 to $1,000 per crown with an average payment of $620.'}","{'All-porcelain crowns are the most delicate, most lifelike and most expensive and the cost reflects this.'}"
100_6,What is the coverage of the crown in insurance?,MARCO_5900416,"Best Answer: the charge for a crown in my office is $1,000. IF you have 80% coverage you will have to pay $200 plus your deductable (usually $50 yearly) However I have found that most insurances consider crowns to be major work and only cover 50%.hat this means to you is that your dentist may charge you, say, $1000 for a crown. However your insurance company may consider $1000 to be unreasonable and will only pay 80% of the first $800.",4,"{'Best Answer: the charge for a crown in my office is $1,000.', 'IF you have 80% coverage you will have to pay $200 plus your deductable (usually $50 yearly) However I have found that most insurances consider crowns to be major work and only cover 50%.hat this means to you is that your dentist may charge you, say, $1000 for a crown.', 'However your insurance company may consider $1000 to be unreasonable and will only pay 80% of the first $800.'}",set()
100_6,What is the coverage of the crown in insurance?,MARCO_6831103,"Insurance generally covers crowns at 50% 1  . Metal crowns made of gold alloy or of base-metal alloys and generally cost $600 to $2,500 per tooth depending on the metal and the size of the tooth. 2  People with insurance typically paid $520 $1,140 out of pocket with an average of $882 per crown. People with insurance typically paid $520 $1,140 out of pocket with an average of $882 per crown. 2  Those without insurance generally paid between $830 and $2,465 per crown with an average cost of $1,350. 3  Porcelain-fused to-metal crowns are the most popular type of crown. 4  Costs run from $500 to $1,500 or more per tooth.",4,"{'2  People with insurance typically paid $520 $1,140 out of pocket with an average of $882 per crown.', 'Metal crowns made of gold alloy or of base-metal alloys and generally cost $600 to $2,500 per tooth depending on the metal and the size of the tooth.', '4  Costs run from $500 to $1,500 or more per tooth.', 'People with insurance typically paid $520 $1,140 out of pocket with an average of $882 per crown.', '2  Those without insurance generally paid between $830 and $2,465 per crown with an average cost of $1,350.', 'Insurance generally covers crowns at 50% 1  .', '3  Porcelain-fused to-metal crowns are the most popular type of crown.'}",set()
100_6,What is the coverage of the crown in insurance?,MARCO_7843828,"Crowns can be made from porcelain (a dental ceramic), metal or a combination called porcelain-fused-to-metal. Typical costs: The cost of a dental crown depends on the materials used; the size, location and condition of the tooth; local rates; and the dentist's training and experience. Dental insurance might cover about 50% of the cost if the crown is needed for medical reasons, but dental crowns are typically not covered if they are considered cosmetic, and many dental plans have a maximum annual coverage limit of $1,000-$1,500. Porcelain-fused-to-metal crowns can cost $500-$1,500 or more per tooth.",4,"{'Dental insurance might cover about 50% of the cost if the crown is needed for medical reasons, but dental crowns are typically not covered if they are considered cosmetic, and many dental plans have a maximum annual coverage limit of $1,000-$1,500.'}","{'Porcelain-fused-to-metal crowns can cost $500-$1,500 or more per tooth.', 'Crowns can be made from porcelain (a dental ceramic), metal or a combination called porcelain-fused-to-metal.', ""Typical costs: The cost of a dental crown depends on the materials used; the size, location and condition of the tooth; local rates; and the dentist's training and experience.""}"
100_7,What is the coverage of the crown in medicare?,MARCO_1534388,"How often is it covered? Medicare doesn't cover most dental care, dental procedures, or supplies, like cleanings, fillings, tooth extractions, dentures, dental plates, or other dental devices. Medicare Part A (Hospital Insurance) will pay for certain dental services that you get when you're in a hospital.",3,"{""Medicare doesn't cover most dental care, dental procedures, or supplies, like cleanings, fillings, tooth extractions, dentures, dental plates, or other dental devices."", ""Medicare Part A (Hospital Insurance) will pay for certain dental services that you get when you're in a hospital.""}",{'How often is it covered?'}
100_7,What is the coverage of the crown in medicare?,MARCO_1750692,"Search Medicare.gov for covered items. Medicare doesn't cover most dental care, dental procedures, or supplies, like cleanings, fillings, tooth extractions, dentures, dental plates, or other dental devices. Medicare Part A (Hospital Insurance) will pay for certain dental services that you get when you're in a hospital. Part A can pay for inpatient hospital care if you need to have emergency or complicated dental procedures, even though the dental care isn't covered.",3,"{""Medicare doesn't cover most dental care, dental procedures, or supplies, like cleanings, fillings, tooth extractions, dentures, dental plates, or other dental devices."", ""Medicare Part A (Hospital Insurance) will pay for certain dental services that you get when you're in a hospital."", ""Part A can pay for inpatient hospital care if you need to have emergency or complicated dental procedures, even though the dental care isn't covered.""}",{'Search Medicare.gov for covered items.'}
100_7,What is the coverage of the crown in medicare?,MARCO_2225953,"Original Medicare (Parts A & B) provides some dental and vision coverage, but only in limited situations. If you need dental and vision coverage, you can enroll in a Medicare Advantage plan that includes these benefits. Original Medicare covers limited dental care. It does not cover procedures such as cleaning, fillings, extractions, dentures, and other services. However, Medicare Part A (hospital insurance) will cover some dental services if they are performed in a hospital.",3,"{'If you need dental and vision coverage, you can enroll in a Medicare Advantage plan that includes these benefits.', 'Original Medicare covers limited dental care.', 'However, Medicare Part A (hospital insurance) will cover some dental services if they are performed in a hospital.', 'It does not cover procedures such as cleaning, fillings, extractions, dentures, and other services.', 'Original Medicare (Parts A & B) provides some dental and vision coverage, but only in limited situations.'}",set()
100_7,What is the coverage of the crown in medicare?,MARCO_3873715,"Medicare Dental Coverage. Currently, Medicare will pay for dental services that are an integral part either of a covered procedure (e.g., reconstruction of the jaw following accidental injury), or for extractions done in preparation for radiation treatment for neoplastic diseases involving the jaw.",3,"{'Currently, Medicare will pay for dental services that are an integral part either of a covered procedure (e.g., reconstruction of the jaw following accidental injury), or for extractions done in preparation for radiation treatment for neoplastic diseases involving the jaw.'}",{'Medicare Dental Coverage.'}
100_7,What is the coverage of the crown in medicare?,MARCO_5721350,"Medicare doesn't cover most dental care, dental procedures, or supplies, like cleanings, fillings, tooth extractions, dentures, dental plates, or other dental devices.Medicare Part A (Hospital Insurance) will pay for certain dental services that you get when you're in a hospital.Part A can pay for inpatient hospital care if you need to have emergency or complicated dental procedures, even though the dental care isn't covered.edicare doesn't cover most dental care, dental procedures, or supplies, like cleanings, fillings, tooth extractions, dentures, dental plates, or other dental devices.",3,"{""Medicare doesn't cover most dental care, dental procedures, or supplies, like cleanings, fillings, tooth extractions, dentures, dental plates, or other dental devices.Medicare Part A (Hospital Insurance) will pay for certain dental services that you get when you're in a hospital.Part A can pay for inpatient hospital care if you need to have emergency or complicated dental procedures, even though the dental care isn't covered.edicare doesn't cover most dental care, dental procedures, or supplies, like cleanings, fillings, tooth extractions, dentures, dental plates, or other dental devices.""}",set()
100_8,Show me medicare dentists in Seattle,MARCO_1933192,"Most people don't brush the tongue side of the teeth, says Andy Marashi, a Seattle dentist. It's very easy to tell. You get a line of inflammation. Not to mention the debris that sits there and becomes what we call calculus. .",1,"{'.', ""Most people don't brush the tongue side of the teeth, says Andy Marashi, a Seattle dentist.""}","{'Not to mention the debris that sits there and becomes what we call calculus.', ""It's very easy to tell."", 'You get a line of inflammation.'}"
100_8,Show me medicare dentists in Seattle,MARCO_4891202,"General Dentist w/ Great Opportunity. The Dentist has 17 years experience and has been at the office location for nearly 14 years-The Dentist not only provides General Dentistry treatment but has... Easily apply. 7 days ago-save job-email-more... 1  View all Greenlake Dental jobs in Seattle, WA-Seattle jobs.",1,set(),"{'General Dentist w/ Great Opportunity.', 'Easily apply.', '7 days ago-save job-email-more... 1  View all Greenlake Dental jobs in Seattle, WA-Seattle jobs.', 'The Dentist has 17 years experience and has been at the office location for nearly 14 years-The Dentist not only provides General Dentistry treatment but has...'}"
100_8,Show me medicare dentists in Seattle,MARCO_5542957,"Whether you want fewer issues with your teeth, fewer trips to the dentist, lower costs, or help finding the best dentist near you, count on Dental Optimizer. Best Dentist Finder The Best Dentist Finder takes your information and matches it with the best dentists near your home or work.",2,"{'Whether you want fewer issues with your teeth, fewer trips to the dentist, lower costs, or help finding the best dentist near you, count on Dental Optimizer.'}",{'Best Dentist Finder The Best Dentist Finder takes your information and matches it with the best dentists near your home or work.'}
100_8,Show me medicare dentists in Seattle,MARCO_5895144,"Rhys Spoor, DDS, FAGD, an international expert in Aesthetic and Restorative Dentistry, has been selected by his peers as one of the Top 10 Dentists for Cosmetic Dentistry in the Puget Sound region, as published in the January 2006 edition of Seattle magazine.",1,"{'Rhys Spoor, DDS, FAGD, an international expert in Aesthetic and Restorative Dentistry, has been selected by his peers as one of the Top 10 Dentists for Cosmetic Dentistry in the Puget Sound region, as published in the January 2006 edition of Seattle magazine.'}",set()
100_8,Show me medicare dentists in Seattle,MARCO_7046359,"Welcome to Our Office. Here at Smile by the Station Dentistry, Dr. David Silver strives to provide the highest quality dental care to our patients in and around the Seattle, Washington area, with our brand new, beautiful building located on the light rail line at Othello Station.",1,"{'Here at Smile by the Station Dentistry, Dr. David Silver strives to provide the highest quality dental care to our patients in and around the Seattle, Washington area, with our brand new, beautiful building located on the light rail line at Othello Station.'}",{'Welcome to Our Office.'}
84_1,How does seed investment work for startups?,CAR_0fbdd75221717e2e192570eeff574ac4072e77d9,"Seed capital can be distinguished from venture capital in that venture capital investments tend to come from institutional investors, involve significantly more money, are arm's length transactions, and involve much greater complexity in the contracts and corporate structure accompanying the investment. Seed funding involves a higher risk than normal venture capital funding since the investor does not see any existing projects to evaluate for funding. Hence, the investments made are usually lower (in the tens of thousands to the hundreds of thousands of dollars range) as against normal venture capital investment (in the hundreds of thousands to the millions of dollars range), for similar levels of stake in the company. Seed funding can be raised online using equity crowdfunding platforms such as SeedInvest, Seedrs and Angels Den. Investors make their decision whether to fund a project based on the perceived strength of the idea and the capabilities, skills and history of the founders.",3,"{'Seed funding can be raised online using equity crowdfunding platforms such as SeedInvest, Seedrs and Angels Den.', 'Investors make their decision whether to fund a project based on the perceived strength of the idea and the capabilities, skills and history of the founders.', 'Seed funding involves a higher risk than normal venture capital funding since the investor does not see any existing projects to evaluate for funding.', 'Hence, the investments made are usually lower (in the tens of thousands to the hundreds of thousands of dollars range) as against normal venture capital investment (in the hundreds of thousands to the millions of dollars range), for similar levels of stake in the company.'}","{""Seed capital can be distinguished from venture capital in that venture capital investments tend to come from institutional investors, involve significantly more money, are arm's length transactions, and involve much greater complexity in the contracts and corporate structure accompanying the investment.""}"
