turn_id,query,passage_id,passage,answerability,predicted_response,predicted_value
83_6,What can I do to help provide a habitat for bees?,MARCO_1241537,"1 You can do your community and your local wildlife a favor by growing plants/flowers which are native to your area and which attract bees and butterflies.2  It is very easy to find lists of these plants for your zone. 3  Check out The Wildlife Gardener's Guide, which is published by Brooklyn Botanic Garden. You can do your community and your local wildlife a favor by growing plants/flowers which are native to your area and which attract bees and butterflies.",1,1,1
83_6,What can I do to help provide a habitat for bees?,MARCO_3459870,Pooh's guide to saving the bees. 1  Plant your own window box. 2  Create your own vegetable patch or tub together. 3  Plant a flowering tree in your garden.  Make some seed balls' and throw them into the 1  wild. Use arts and crafts to educate the younger generation on the importance of bees.,1,1,1
83_6,What can I do to help provide a habitat for bees?,MARCO_5268572,"Attract Honey Bees to Your Garden. The flowers and the arrangement of flowers in your garden are what attract honey bees and native bees. Bees like a diversity of bee-friendly flowers, with large patches of each kind of flower. They prefer a less manicured, more random garden with weeds. Here's what you can do to make your garden more bee-friendly: 1  Plant 10 or more types of plants that attract bees. 2  Plant several of each type of plant close together, rather than planting them singly or spread out in the garden.",1,1,1
83_6,What can I do to help provide a habitat for bees?,MARCO_5268578,"Plant a Bee Garden Create an oasis for bees and other pollinators. More and more gardeners are anxious to do their part to help the bees by adding to the shrinking inventory of flower-rich habitat in their area. You can create a bee garden'. In return, the bees will pollinate your flowers, providing a bountiful harvest of fruits, seeds and vegetables as well as the joy of watching them up close. Here are some helpful tips to keep in mind as you grow your bee garden: Rethink your lawn. Replace part or all of your front lawn grass with flowering plants, which provides food and habitat for honey bees, bumble bees, solitary bees, butterflies and other pollinators.",1,1,1
83_8,What would happen if the bees died out?,MARCO_2141004,"What would happen if you were hit by a penny falling from a skyscraper? What happens if you don't sleep for 24 hours? You're basically drunk. So could all bees go extinct? It's unlikely, Bolt noted, as there are 4,000 known species of bees in North America alone and about 20,000 species worldwide. But if all bees did disappear, we'd all be in a world of trouble, he said. The variety of foods would be incredibly reduced and who could even predict how their loss would ripple throughout the world's many ecosystems.",1,1,1
83_8,What would happen if the bees died out?,MARCO_2141005,"But because many trees and flowering plants depend on bees for their reproductive cycle, they would be highly stressed, and either would have to adapt to life without bees or become extinct. Plants have been pollinated by a wide variety of animals in North America way before the honey bee became established. An increase of flies, beetles, thrips, butterflies, and moths would fill the void as pollinators in a world where bees were either extinct or never existed at all....",1,1,1
83_8,What would happen if the bees died out?,MARCO_3271930,"Honeybees as a species are not in danger of extinction, but their ability to support the industry of commercial pollination, and by extension, a large portion of our food supply, is in serious danger. Whole Foods recently imagined what our grocery store would like in a world without bees by removing more than half of the market's produce. Here, we also take a purely hypothetical look at how the human diet and lifestyle would change if honeybees and other bee pollinators disappeared from our planet one day.",1,1,1
83_8,What would happen if the bees died out?,MARCO_8266703,"Where would we be without bees? As far as important species go, they are top of the list. They are critical pollinators: they pollinate 70 of the around 100 crop species that feed 90% of the world. Honey bees are responsible for $30 billion a year in crops. That's only the start. We may lose all the plants that bees pollinate, all of the animals that eat those plants and so on up the food chain. Which means a world without bees could struggle to sustain the global human population of 7 billion. Our supermarkets would have half the amount of fruit and vegetables. It gets worse. We are losing bees at an alarming rate.",1,1,1
83_8,What would happen if the bees died out?,MARCO_8452508,"Without bees and their ilk, the group says, almonds simply wouldn't exist. We'd still have coffee without bees, but it would become expensive and rare. The coffee flower is only open for pollination for three or four days. If no insect happens by in that short window, the plant won't be pollinated. There are plenty of other examples: apples, avocados, onions, and several types of berries rely heavily on bees for pollination. The disappearance of honeybees, or even a substantial drop in their population, would make those foods scarce.",1,1,1
104_12,What are important evaluation measures for web search engines?,CAR_7b40a5261bd93814b2454a1b1fff919b8f56dad0,"The F-score is often used in the field of information retrieval for measuring search, document classification, and query classification performance. Earlier works focused primarily on the F score, but with the proliferation of large scale search engines, performance goals changed to place more emphasis on either precision or recall and so",1,1,1
104_12,What are important evaluation measures for web search engines?,CAR_caadc5b1d3560cab0db70c6ffa486540cb97fd59,Precision and recall have been two of the traditional performance measures for evaluating information retrieval systems.  Precision is the fraction of the retrieved result documents that are relevant to the user's information need.  Recall is defined as the fraction of relevant documents in the entire collection that are returned as result documents.,1,1,1
104_12,What are important evaluation measures for web search engines?,CAR_cef18912f5c9b7c722a3cf83451a2222f7520afa,"The evaluation of an information retrieval system is the process of assessing how well a system meets the information needs of its users. Traditional evaluation metrics, designed for Boolean retrieval or top-k retrieval, include precision and recall.  Many more measures for evaluating the performance of information retrieval systems have also been proposed. In general, measurement considers a collection of documents to be searched and a search query. All common measures described here assume a ground truth notion of relevancy: every document is known to be either relevant or non-relevant to a particular query. In practice, queries may be ill-posed and there may be different shades of relevancy.",1,1,1
104_12,What are important evaluation measures for web search engines?,CAR_f33ab18d9f433da1dd64162661d0a4a86b1018b7,"Together, these components form an information retrieval test collection. The test collection serves as a standard for testing retrieval approaches, and the success of each approach is measured in terms of two measures: precision and recall. Test collections and evaluation measures based on precision and recall are driving forces behind modern research on search systems. Cleverdon's approach formed a blueprint for the successful Text Retrieval Conference series that began in 1992.",1,1,1
104_12,What are important evaluation measures for web search engines?,CAR_f395f64260c6e48b2a4b7a04a488873d136ff5e9,"Virtually all modern evaluation metrics (e.g., mean average precision, discounted cumulative gain) are designed for ranked retrieval without any explicit rank cutoff, taking into account the relative order of the documents retrieved by the search engines and giving more weight to documents returned at higher ranks.",1,1,1
90_5,Why did the Airbus A380 stop being produced?,CAR_31188d477f7ffb259b1a6fa2d6289645d5c9f01f,"Airbus announced the first delay in June 2005 and notified airlines that deliveries would be delayed by six months. This reduced the total number of planned deliveries by the end of 2009 from about 120 to 90–100. On 13 June 2006, Airbus announced a second delay, with the delivery schedule slipping an additional six to seven months. Although the first delivery was still planned before the end of 2006, deliveries in 2007 would drop to only 9 aircraft, and deliveries by the end of 2009 would be cut to 70–80 aircraft. The announcement caused a 26% drop in the share price of Airbus' parent, EADS, and led to the departure of EADS CEO Noël Forgeard, Airbus CEO Gustav Humbert, and A380 programme manager Charles Champion. On 3 October 2006, upon completion of a review of the A380 program, Airbus CEO Christian Streiff announced a third delay, pushing the first delivery to October 2007, to be followed by 13 deliveries in 2008, 25 in 2009, and the full production rate of 45 aircraft per year in 2010. The delay also increased the earnings shortfall projected by Airbus through 2010 to €4.8 billion.",0,1,1
90_5,Why did the Airbus A380 stop being produced?,CAR_3309e30e008cb19bdc5b6a3684e4e968fb17d334,"In recent years the Boeing 777 has outsold its Airbus counterparts, which include the A340 family as well as the A330-300. The smaller A330-200 competes with the 767, outselling its Boeing counterpart in recent years. The A380 is anticipated to further reduce sales of the Boeing 747, gaining Airbus a share of the market in very large aircraft, though frequent delays in the A380 programme have caused several customers to consider the refreshed 747–8. Airbus has also proposed the A350 XWB to compete with the  Boeing 787 Dreamliner, after being under great pressure from airlines to produce a competing model.",0,1,1
90_5,Why did the Airbus A380 stop being produced?,CAR_daf2b4cb4e1a5ced54456645b8ca3c55fa41509d,"Airbus says that some A380s may not be delivered to customers or even built. This decision came when Airbus had not met the 'Accord and Satisfaction' for three already built aircraft for an undisclosed Japanese airline. 'Without referring to any specific airline, I can assure you that we have cases where airlines are in the order backlog but not in the production plan,' chief executive officer Tom Enders said in August 2014 during a conference call to discuss earnings with Bloomberg. 'We are watching the situation carefully, and know about the strengths and weaknesses of customers.' Among customers that have ordered superjumbos yet remain undecided about actually taking them is Virgin Atlantic, with six units on the order book. Qantas had also planned to top up its existing fleet by as many as eight airplanes, an expansion that has been thrown into doubt amid a cost-cutting drive. Amedeo, an aircraft lessor that ordered 20 A380s, has yet to find a single client for the jet.",1,1,1
90_5,Why did the Airbus A380 stop being produced?,CAR_ffd5cecd30344df1ce750f82ac9cdd753d60d9cf,"On 11 December 2014, after slower than expected orders for the aircraft in 2014, Harald Wilhelm, the company's Chief Finance Officer, voiced the possibility to end the program in 2018. His statement was met by protests from customers and a fall in share prices. Airbus responded to the protests by playing down the possibility the A380 would be abandoned, instead emphasizing that enhancing the airplane was a likelier scenario.  On 22 December 2014, CEO Fabrice Brégier ruled out the cancellation of the A380 program, stating that it will break even in 2015 but also that the A380 was introduced a decade too early. While no longer losing money on each plane sold, Airbus admits that the company will never recoup the $25 billion investment it made in the project.",1,1,1
90_5,Why did the Airbus A380 stop being produced?,MARCO_969792,"Advertisement. Airbus, which is under increasing pressure to prove the viability of its A380 production rates, yesterday conceded that it still needs to fill a single-digit number of production slots for the type in 2015.dvertisement. Airbus, which is under increasing pressure to prove the viability of its A380 production rates, yesterday conceded that it still needs to fill a single-digit number of production slots for the type in 2015.",1,1,1
87_2,How can you tell different types of orange trees apart?,MARCO_4060467,"Facts About Orange blossom. 1  The sweet orange tree, which bears the orange blossom, is a compact evergreen tree, 20-30 tall with a rounded, symmetrical crown spreading 15-20 or so. 2  The Orange twigs on many cultivars are thorny. The bark of the orange tree is greenish-brown color, having axillary spines on the branches.",1,0,0
87_2,How can you tell different types of orange trees apart?,MARCO_4774886,"Sour orange trees are small, spiny trees that grow up to 30 feet tall. The trees have a compact, rounded top and ovate leaves with blunt tips and tapered bases that are aromatic when crushed. Sour orange trees produce reddish-orange fruit with a tough rind. This is the fruit to use to make marmalade.",1,0,0
87_2,How can you tell different types of orange trees apart?,MARCO_5694950,"Semi-dwarf varieties are 10 to 15 feet tall at their mature height, while dwarf orange trees are 5 to 10 feet tall. Orange trees can bear fruit well before they reach their full height. Age and growing conditions, not whether a tree has reached its full height, determine whether and how quickly a tree will bear fruit.",1,"0. The passage talks about the different heights of semi-dwarf and dwarf orange trees and when they can bear fruit, but it does not provide information on how to tell different types of orange trees apart.",0
87_2,How can you tell different types of orange trees apart?,MARCO_5694951,"A fully grown and developed orange tree may be 20 to 30 feet tall. Semi-dwarf varieties are 10 to 15 feet tall at their mature height, while dwarf orange trees are 5 to 10 feet tall. Orange trees can bear fruit well before they reach their full height.",1,0,0
87_2,How can you tell different types of orange trees apart?,MARCO_7099398,"Besides the distinctive fruit and orange-yellow wood, Osage orange trees are known for their long, tire-flattening thorns. The male trees produce the pollen, and the female trees produce the fruit. Botanists are working on development of a male, thornless variety, for more friendly, modern landscaping. Even though you can't eat them, Osage oranges have many uses.",1,0,0
91_3,What are the privacy implications of social networks and cloud computing?,CAR_4b135f2d5b57633ae3f8a35e00a49ec60263093d,"In the digital information era, where social networks are increasingly used for sharing, communicating and entertaining, citizens' fundamental rights can be at risk. The creation of accounts that reveal data and personal information may lead to a violation of the right to intimacy, privacy, image and honour. The risk is caused by the user's lack of knowledge regarding the terms and conditions of social networks, and the possible uses of the information by third parties.",1,1,1
91_3,What are the privacy implications of social networks and cloud computing?,CAR_5cc1cc0fb541686e5f6d045f1866e6f4fa354dcd,"Solutions to privacy in cloud computing include policy and legislation as well as end users' choices for how data is stored. The cloud service provider needs to establish clear and relevant policies that describe how the data of each cloud user will be accessed and used.  Cloud service users can encrypt data that is processed or stored within the cloud to prevent unauthorized access. Cryptographic encryption mechanisms are certainly the best options. In addition, authentication and integrity protection mechanisms ensure that data only goes where the customer wants it to go and it is not modified in transit.",1,1,1
91_3,What are the privacy implications of social networks and cloud computing?,CAR_801645c8124f50e61922ae98ff83eeaafcedbe82,"Social networking sites offer greater security risks to personal electronic information because sensitive, private or confidential information such as personal identifiers are routinely used to create public profiles. Many websites give options to suppress the amount of personal information revealed through the customisation of privacy settings. However privacy settings can reset if changes to the website occur.",1,1,1
91_3,What are the privacy implications of social networks and cloud computing?,CAR_bd95fbb04802baff2a1d66b68fad8b480278fe53,"The relative security of cloud computing services is a contentious issue that may be delaying its adoption. Physical control of the Private Cloud equipment is more secure than having the equipment off site and under someone else's control. Physical control and the ability to visually inspect data links and access ports is required in order to ensure data links are not compromised. Issues barring the adoption of cloud computing are due in large part to the private and public sectors' unease surrounding the external management of security-based services. It is the very nature of cloud computing-based services, private or public, that promote external management of provided services. This delivers great incentive to cloud computing service providers to prioritize building and maintaining strong management of secure services. Security issues have been categorised into sensitive data access, data segregation, privacy, bug exploitation, recovery, accountability, malicious insiders, management console security, account control, and multi-tenancy issues. Solutions to various cloud security issues vary, from cryptography, particularly public key infrastructure (PKI), to use of multiple cloud providers, standardisation of APIs, and improving virtual machine support and legal support.",1,1,1
91_3,What are the privacy implications of social networks and cloud computing?,MARCO_8810548,"He says that any personal information can become sensitive information and the massive influx of personal data into social networks is creating a perfect storm for advanced, accessible technology to drive into the data cloud and emerge with our privacy in shambles.",1,1,1
91_4,"Oh, Internet Protocol (IP) addresses are considered Personally Identifying Information (PII)? What is the full range of personal data defined in the General Data Protection Regulation (GDPR)?",CAR_97f7cfe35b34daa2491dc8454e571e87cbee51a0,"The regulation applies if the data controller or processor (organization) or the data subject (person) is based in the EU. Furthermore (and unlike the current Directive) the Regulation also applies to organizations based outside the European Union if they process personal data of EU residents. The regulation does not apply to the processing of personal data for national security activities or law enforcement ('competent authorities for the purposes of prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties'). According to the European Commission 'personal data is any information relating to an individual, whether it relates to his or her private, professional or public life. It can be anything from a name, a photo, an email address, bank details, posts on social networking websites, medical information, or a computer’s IP address.'",1,1,1
91_4,"Oh, Internet Protocol (IP) addresses are considered Personally Identifying Information (PII)? What is the full range of personal data defined in the General Data Protection Regulation (GDPR)?",MARCO_1109618,"GDPR defines personal data as any information relating to an already identified individual or that can identify an individual either directly or indirectly. Does that help? Sam: Not completely, so is a person's name considered personal information? Nigel: Yes. Sam: Great, can you give me the rest of the list?",1,1,1
91_4,"Oh, Internet Protocol (IP) addresses are considered Personally Identifying Information (PII)? What is the full range of personal data defined in the General Data Protection Regulation (GDPR)?",MARCO_1109622,"Personal data, in the context of GDPR, covers a much wider range of information that can include social media posts, photographs, lifestyle preferences and transaction histories. And now, thanks to the German Pirate Party, even IP addresses. In other words, all PII is personal data but not all personal data is PII. Building a successful GDPR compliance program will require marketers and IT architects to move beyond the narrow scope of PII to consider the full range of personal data as defined by the EU. Or yer might find yerself keelhauled by a court, matey. This is the first in a series of occasional blog posts exploring key concepts behind GDPR.",1,1.,1
